"","subj_idx","rt","response","Affil","rt_log"
"5285",446421117,0.102,"Outgroup Better","Democrat",-2.28278246569787
"5286",446421117,0.486,"Outgroup Better","Democrat",-0.721546655081643
"5287",446421117,0.318,"Outgroup Better","Democrat",-1.14570389620196
"5288",446421117,0.172,"Outgroup Better","Democrat",-1.76026080216868
"5289",446421117,0.023,"Outgroup Better","Democrat",-3.77226106305299
"5290",446421117,0.103,"Outgroup Better","Democrat",-2.2730262907525
"5291",446421117,0.02,"Ingroup Better","Democrat",-3.91202300542815
"5292",446421117,0.165,"Outgroup Better","Democrat",-1.80180980508156
"5293",446421117,0.096,"Outgroup Better","Democrat",-2.3434070875143
"5294",446421117,0.146,"Ingroup Better","Democrat",-1.9241486572738
"5295",446421117,0.11,"Ingroup Better","Democrat",-2.20727491318972
"5296",446421117,7.056,"Outgroup Better","Democrat",1.95387831870449
"5297",446421117,0.142,"Outgroup Better","Democrat",-1.95192822138088
"5298",446421117,0.178,"Outgroup Better","Democrat",-1.72597172869005
"5299",446421117,0.088,"Outgroup Better","Democrat",-2.43041846450393
"5300",446421117,0.121,"Outgroup Better","Democrat",-2.1119647333854
"5301",446421117,0.121,"Outgroup Better","Democrat",-2.1119647333854
"5302",446421117,0.089,"Outgroup Better","Democrat",-2.41911890925
"5303",446421117,0.144,"Outgroup Better","Democrat",-1.93794197940614
"5304",446421117,0.006,"Ingroup Better","Democrat",-5.11599580975408
"5305",446421117,0.13,"Ingroup Better","Democrat",-2.04022082852655
"5306",446421117,0.205,"Outgroup Better","Democrat",-1.58474529984373
"5307",446421117,0.11,"Outgroup Better","Democrat",-2.20727491318972
"5308",446421117,0.164,"Outgroup Better","Democrat",-1.80788885115794
"5309",446421117,0.043,"Outgroup Better","Democrat",-3.14655516328857
"5310",446421117,0.037,"Outgroup Better","Democrat",-3.29683736633791
"5311",446421117,0.15,"Ingroup Better","Democrat",-1.89711998488588
"5312",446421117,0.081,"Ingroup Better","Democrat",-2.5133061243097
"5313",446421117,0.086,"Ingroup Better","Democrat",-2.45340798272863
"5314",446421117,0.181,"Outgroup Better","Democrat",-1.70925824771631
"5315",446421117,0.045,"Ingroup Better","Democrat",-3.10109278921182
"5316",446421117,0.005,"Ingroup Better","Democrat",-5.29831736654804
"5317",446421117,0.087,"Outgroup Better","Democrat",-2.44184716032755
"5318",446421117,0.008,"Ingroup Better","Democrat",-4.8283137373023
"5319",446421117,0.054,"Outgroup Better","Democrat",-2.91877123241786
"5320",446421117,0.17,"Ingroup Better","Democrat",-1.77195684193188
"5321",446421117,0.422,"Outgroup Better","Democrat",-0.862749964946125
"5322",446421117,0.019,"Ingroup Better","Democrat",-3.9633162998157
"5323",446421117,0.107,"Ingroup Better","Democrat",-2.23492644452023
"5324",446421117,1.95,"Ingroup Better","Democrat",0.667829372575655
"5325",446421117,0.462,"Outgroup Better","Democrat",-0.772190387900398
"5326",446421117,0.141,"Outgroup Better","Democrat",-1.95899538860397
"5327",446421117,0.108,"Ingroup Better","Democrat",-2.22562405185792
"5328",446421117,0.154,"Ingroup Better","Democrat",-1.87080267656851
"5329",446421117,0.05,"Ingroup Better","Democrat",-2.99573227355399
"5330",446421117,0.09,"Ingroup Better","Democrat",-2.40794560865187
"5331",446421117,0.177,"Ingroup Better","Democrat",-1.73160554640831
"5332",446421117,0.153,"Ingroup Better","Democrat",-1.8773173575897
"5333",446421117,0.13,"Ingroup Better","Democrat",-2.04022082852655
"5334",446421117,0.058,"Outgroup Better","Democrat",-2.84731226843572
"5335",446421117,0.182,"Ingroup Better","Democrat",-1.70374859190534
"5336",446421117,0.243,"Outgroup Better","Democrat",-1.41469383564159
"5337",446421117,0.23,"Outgroup Better","Democrat",-1.46967597005894
"5338",446421117,0.035,"Ingroup Better","Democrat",-3.35240721749272
"5339",446421117,0.163,"Ingroup Better","Democrat",-1.81400507817537
"5340",446421117,7.054,"Ingroup Better","Democrat",1.95359483181386
"5341",446421117,0.082,"Ingroup Better","Democrat",-2.50103603171788
"5342",446421117,0.036,"Ingroup Better","Democrat",-3.32423634052603
"5343",446421117,0.095,"Outgroup Better","Democrat",-2.3538783873816
"5344",446421117,0.242,"Outgroup Better","Democrat",-1.41881755282545
"5345",446421117,0.078,"Outgroup Better","Democrat",-2.55104645229255
"5346",446421117,0.131,"Ingroup Better","Democrat",-2.03255795578099
"5347",446421117,0.042,"Ingroup Better","Democrat",-3.17008566069877
"5348",446421117,0.137,"Ingroup Better","Democrat",-1.98777435315401
"5349",446421117,0.165,"Outgroup Better","Democrat",-1.80180980508156
"5350",446421117,0.165,"Outgroup Better","Democrat",-1.80180980508156
"5351",446421117,0.158,"Ingroup Better","Democrat",-1.84516024595517
"5352",446421117,0.064,"Ingroup Better","Democrat",-2.74887219562247
"5353",446421117,0.151,"Outgroup Better","Democrat",-1.89047544216721
"5354",446421117,0.054,"Ingroup Better","Democrat",-2.91877123241786
"5355",446421117,0.051,"Ingroup Better","Democrat",-2.97592964625781
"5356",446421117,0.185,"Ingroup Better","Democrat",-1.68739945390381
"5357",446421117,0.087,"Outgroup Better","Democrat",-2.44184716032755
"5358",446421117,0.105,"Outgroup Better","Democrat",-2.25379492882461
"5359",446421117,0.164,"Outgroup Better","Democrat",-1.80788885115794
"5360",446421117,0.014,"Ingroup Better","Democrat",-4.26869794936688
"5361",449943813,7.916,"Ingroup Better","Democrat",2.06888602774032
"5362",449943813,0.534,"Outgroup Better","Democrat",-0.627359440021942
"5363",449943813,3.14,"Outgroup Better","Democrat",1.14422279992016
"5364",449943813,3.848,"Outgroup Better","Democrat",1.34755353280346
"5365",449943813,0.687,"Outgroup Better","Democrat",-0.375420986759788
"5366",449943813,3.13,"Outgroup Better","Democrat",1.14103300455206
"5367",449943813,4.988,"Outgroup Better","Democrat",1.60703502781779
"5368",449943813,2.876,"Ingroup Better","Democrat",1.0564004398588
"5369",449943813,4.494,"Ingroup Better","Democrat",1.50274317376314
"5370",449943813,2.758,"Ingroup Better","Democrat",1.01450577937111
"5371",449943813,4.31,"Outgroup Better","Democrat",1.46093790411566
"5372",449943813,3.937,"Outgroup Better","Democrat",1.3704190119616
"5373",449943813,1.69,"Ingroup Better","Democrat",0.524728528934982
"5374",449943813,1.267,"Ingroup Better","Democrat",0.236651901339002
"5375",449943813,5.985,"Outgroup Better","Democrat",1.78925633900994
"5376",449943813,15.315,"Ingroup Better","Democrat",2.72883274028474
"5377",449943813,1.237,"Outgroup Better","Democrat",0.212689093410351
"5378",449943813,0.442,"Ingroup Better","Democrat",-0.816445396904439
"5379",449943813,7.163,"Ingroup Better","Democrat",1.96892888763231
"5380",449943813,2.24,"Ingroup Better","Democrat",0.806475865866949
"5381",449943813,5.598,"Ingroup Better","Democrat",1.72240939109326
"5382",449943813,2.275,"Outgroup Better","Democrat",0.821980052402914
"5383",449943813,0.656,"Ingroup Better","Democrat",-0.421594490038048
"5384",449943813,2.391,"Ingroup Better","Democrat",0.871711688476188
"5385",449943813,2.323,"Outgroup Better","Democrat",0.842859453788272
"5386",449943813,1.659,"Ingroup Better","Democrat",0.506215011208307
"5387",449943813,2.108,"Outgroup Better","Democrat",0.745739630679116
"5388",449943813,1.014,"Outgroup Better","Democrat",0.0139029051689914
"5389",449943813,6.636,"Ingroup Better","Democrat",1.8925093723282
"5390",449943813,0.52,"Outgroup Better","Democrat",-0.653926467406664
"5391",449943813,1.733,"Ingroup Better","Democrat",0.549854010733469
"5392",449943813,1.197,"Outgroup Better","Democrat",0.179818426575836
"5393",449943813,0.448,"Ingroup Better","Democrat",-0.802962046567152
"5394",449943813,6.378,"Ingroup Better","Democrat",1.85285456858787
"5395",449943813,4.212,"Ingroup Better","Democrat",1.43793759427173
"5396",449943813,0.636,"Outgroup Better","Democrat",-0.452556715642015
"5397",449943813,4.335,"Outgroup Better","Democrat",1.46672161023251
"5398",449943813,3.992,"Outgroup Better","Democrat",1.38429235844922
"5399",449943813,0.94,"Outgroup Better","Democrat",-0.0618754037180875
"5400",449943813,5.309,"Outgroup Better","Democrat",1.66940349360153
"5401",449943813,0.398,"Outgroup Better","Democrat",-0.921303273697699
"5402",449943813,6.159,"Outgroup Better","Democrat",1.81791442670491
"5403",449943813,0.583,"Ingroup Better","Democrat",-0.539568092631645
"5404",449943813,6.02,"Ingroup Better","Democrat",1.79508725932073
"5405",449943813,4.132,"Outgroup Better","Democrat",1.41876155125739
"5406",449943813,2.318,"Outgroup Better","Democrat",0.84070474491756
"5407",449943813,1.927,"Ingroup Better","Democrat",0.655964389432229
"5408",449943813,0.794,"Outgroup Better","Democrat",-0.230671817735001
"5409",449943813,3.939,"Ingroup Better","Democrat",1.37092688398877
"5410",449943813,3.927,"Ingroup Better","Democrat",1.36787577559587
"5411",449943813,0.459,"Outgroup Better","Democrat",-0.778705068921592
"5412",449943813,2.428,"Ingroup Better","Democrat",0.887067873197252
"5413",449943813,4.082,"Outgroup Better","Democrat",1.40658706438765
"5414",449943813,5.503,"Outgroup Better","Democrat",1.70529339807762
"5415",449943813,1.425,"Outgroup Better","Democrat",0.354171813720614
"5416",449943813,0.66,"Ingroup Better","Democrat",-0.415515443961666
"5417",449943813,6.628,"Ingroup Better","Democrat",1.89130309956432
"5418",449943813,8.368,"Outgroup Better","Democrat",2.12441490732257
