subj_idx,stim_n,stim_weight,rt,response,condition
12919430,-0.004356061,8.734694961,4.599,1,1
12919430,2.995643939,9.201361628,6.079,0,0
12919430,1.995643939,7.651361628,5.169,1,1
34984274,0.995643939,-0.098638372,2.881,0,1
34984274,-2.004356061,0.734694961,2.445,1,1
34984274,-0.004356061,-6.098638372,1.827,0,1
34984274,0.995643939,-12.76530504,3.06,0,1
34984274,-2.004356061,-2.098638372,4.027,1,0
34984274,-2.004356061,-5.598638372,1.831,1,1
34984274,-1.004356061,-1.931971705,2.738,1,0
34984274,0.995643939,-15.93197171,3.673,0,0
34984274,-1.004356061,-6.598638372,3.326,1,0
34984274,-0.004356061,21.90136163,2.293,0,1
34984274,-4.004356061,-11.26530504,8.124,0,1
34984274,2.995643939,-0.598638372,3.687,1,0
34984274,2.995643939,9.001361628,6.742,0,0
34984274,-4.004356061,7.401361628,4.779,1,0
34984274,-1.004356061,-8.931971705,2.718,0,1
34984274,-1.004356061,1.234694961,2.636,1,0
34984274,-1.004356061,2.568028295,3.222,0,1
34984274,-2.004356061,9.401361628,2.166,0,0
34984274,-3.004356061,18.10136163,5.889,0,1
34984274,4.995643939,5.068028295,5.665,1,1
34984274,0.995643939,-4.098638372,3.485,1,1
34984274,-2.004356061,-2.348638372,4.545,1,0
34984274,-4.004356061,-24.79863837,5.286,1,1
34984274,1.995643939,-8.598638372,4.188,1,1
34984274,-3.004356061,9.001361628,5.532,0,1
34984274,0.995643939,-14.76530504,3.663,1,0
34984274,-2.004356061,-15.84863837,5.349,0,1
34984274,-2.004356061,-5.348638372,4.887,1,1
34984274,2.995643939,13.90136163,5.827,1,0
34984274,-1.004356061,-2.431971705,2.942,0,0
34984274,-2.004356061,8.401361628,4.076,1,0
34984274,-1.004356061,-3.098638372,3.571,0,1
34984274,1.995643939,21.06802829,2.165,1,1
34984274,-0.004356061,-9.598638372,1.516,1,0
34984274,1.995643939,8.734694961,1.979,0,0
34984274,1.995643939,-1.931971705,1.421,1,0
34984274,-1.004356061,6.734694961,5.668,0,0
34984274,-4.004356061,-13.59863837,4.91,0,1
34984274,-1.004356061,-3.681971705,5.554,1,1
34984274,-0.004356061,-3.598638372,4.701,1,0
34984274,-0.004356061,-4.265305039,5.458,1,1
34984274,-0.004356061,-1.265305039,4.309,1,0
34984274,-1.004356061,-9.765305039,3.323,0,0
34984274,0.995643939,3.068028295,3.178,0,1
34984274,-2.004356061,-26.93197171,1.308,1,0
34984274,-2.004356061,1.068028295,2.081,0,1
34984274,1.995643939,23.40136163,1.641,1,0
34984274,0.995643939,11.23469496,3.002,1,0
34984274,-1.004356061,13.06802829,2.731,0,1
34984274,-0.004356061,-27.09863837,1.7,0,0
34984274,-3.004356061,-10.34863837,3.428,0,0
34984274,1.995643939,-12.93197171,1.201,0,1
34984274,1.995643939,-9.265305039,2.091,1,0
34984274,-3.004356061,19.65136163,3.399,1,0
34984274,-1.004356061,-0.931971705,2.569,0,1
34984274,-0.004356061,9.901361628,1.688,1,1
34984274,-0.004356061,-5.098638372,1.618,1,0
34984274,-2.004356061,12.65136163,4.296,1,1
34984274,-2.004356061,4.901361628,4.015,0,0
34984274,2.995643939,11.90136163,3.44,1,0
34984274,-1.004356061,-1.598638372,2.698,0,1
34984274,0.995643939,10.90136163,2.764,1,0
34984274,-2.004356061,3.068028295,2.219,1,1
34984274,-0.004356061,-12.26530504,4.36,1,1
34984274,-1.004356061,-0.931971705,2.798,1,1
34984274,-4.004356061,4.601361628,4.506,1,0
34984274,0.995643939,-2.431971705,3.77,0,1
34984274,0.995643939,1.984694961,5.594,0,1
34984274,0.995643939,-1.265305039,3.972,0,0
34984274,-3.004356061,-14.79863837,5.765,1,1
34984274,1.995643939,12.15136163,5.098,0,1
34984274,0.995643939,0.651361628,8.833,0,0
34984274,-1.004356061,4.651361628,5.99,1,0
34984274,-0.004356061,7.401361628,4.835,0,1
34984274,-1.004356061,-4.848638372,6.725,1,1
34984274,0.995643939,6.734694961,3.102,1,1
41833230,-4.004356061,6.234694961,8.425,0,1
41833230,2.995643939,-1.698638372,6.026,0,0
41833230,-2.004356061,-3.098638372,11.058,1,1
