,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_stim_weight_subj.2884955,0.001498204,0.006173779,-0.010296873,-0.002566185,0.001371478,0.005454882,0.01403864,8.98E-05
v_stim_weight_subj.3964964,0.001076415,0.006633987,-0.01183034,-0.003294425,0.000836401,0.005195114,0.015212971,0.000108283
v_stim_weight_subj.12919430,0.004781793,0.005762354,-0.006182991,0.000899555,0.004675046,0.008457016,0.01628886,0.000120226
v_stim_weight_subj.34984274,0.000674502,0.004959696,-0.008941556,-0.002585199,0.000637999,0.003834459,0.010683446,8.71E-05
v_stim_weight_subj.41833230,0.000120884,0.005280386,-0.010073315,-0.003390419,9.81E-05,0.003499195,0.010940828,8.04E-05
v_stim_weight_subj.43020357,0.002750797,0.006204219,-0.009076077,-0.001402143,0.002440101,0.006765896,0.015554385,0.00011022
v_stim_weight_subj.48595352,0.002945213,0.005161846,-0.007231557,-0.00053905,0.002747086,0.006380138,0.013384626,9.07E-05
v_stim_weight_subj.48977487,0.001714312,0.005995552,-0.010425353,-0.002178163,0.001632636,0.005565355,0.01377984,9.54E-05
v_stim_weight_subj.56470734,-0.00338924,0.00590313,-0.015335959,-0.007282331,-0.003255787,0.000498719,0.00798768,0.000104766
v_stim_weight_subj.74263281,-0.001565331,0.005131303,-0.011892503,-0.004845277,-0.001535387,0.001966236,0.008178816,6.95E-05
v_stim_weight_subj.75969320,-0.001091688,0.006079986,-0.012872413,-0.004988872,-0.001098287,0.002767853,0.01109379,0.000104827
v_stim_weight_subj.92774005,-0.007111371,0.005627876,-0.018434507,-0.010791448,-0.006867297,-0.003322992,0.003350952,0.000113369
v_stim_weight_subj.96226407,-0.004051627,0.005406587,-0.015175473,-0.00743462,-0.003849199,-0.000443129,0.006432163,9.37E-05
v_stim_weight_subj.97123322,0.001466794,0.006318922,-0.010629882,-0.002640872,0.001333209,0.0054487,0.014601253,9.82E-05
v_stim_weight_subj.100416772,-0.000163702,0.005131307,-0.010592878,-0.003445681,-0.000189487,0.003082342,0.009834961,8.29E-05
v_stim_weight_subj.102783161,0.000683453,0.006252196,-0.01137742,-0.00341574,0.000581559,0.004642583,0.013482787,0.000104706
v_stim_weight_subj.103303422,-0.003888752,0.006221766,-0.016571272,-0.007914678,-0.003611942,0.000194422,0.007959477,0.000116129
v_stim_weight_subj.120939072,-0.00286665,0.005548089,-0.014345813,-0.006456199,-0.002781383,0.000723339,0.008003615,8.68E-05
v_stim_weight_subj.129490812,-0.001219758,0.006057601,-0.013182586,-0.005163094,-0.001066158,0.002638714,0.010545167,9.44E-05
v_stim_weight_subj.130271607,0.000489801,0.00653821,-0.012538101,-0.003777297,0.000464847,0.004797571,0.013523597,0.000108847
v_stim_weight_subj.130941034,-0.001605463,0.006364699,-0.014311912,-0.005752854,-0.001532491,0.002604919,0.011075298,0.000106476
v_stim_weight_subj.134057190,0.001695862,0.005124314,-0.008192737,-0.001793027,0.001579755,0.005058531,0.012028359,9.20E-05
v_stim_weight_subj.147547787,0.003200937,0.006684037,-0.009146401,-0.001252386,0.002726617,0.00744543,0.01734389,0.000138562
v_stim_weight_subj.148334112,0.005302413,0.005356437,-0.004723746,0.001619558,0.005118461,0.008843533,0.016519486,0.00011552
