,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.664438269,4.082447063,0.287658418,3.557260755,3.883091256,4.067911188,4.275409843,4.673356952,0.003454722
a_subj.673728725,4.818968201,0.357253955,4.163770419,4.572461647,4.802856259,5.046769129,5.558572602,0.00404916
a_subj.683861923,1.86580035,0.121388961,1.641898092,1.781593193,1.859776799,1.944347762,2.122653076,0.001386179
a_subj.696039965,4.195640089,0.29889955,3.668530126,3.982591944,4.182099702,4.3868941,4.825257505,0.004064877
a_subj.716236442,4.212511709,0.285556545,3.675690312,4.014270995,4.207414481,4.397512672,4.798758015,0.003489348
a_subj.717256200,4.789570119,0.362978369,4.162379879,4.533872038,4.761562285,5.012608454,5.567978384,0.00447279
a_subj.718176674,1.724044502,0.113197431,1.518536171,1.644531135,1.720116132,1.797404351,1.960542025,0.001578675
a_subj.720435955,3.585006038,0.238148751,3.14973817,3.421128931,3.575234004,3.74111226,4.071634734,0.003016086
a_subj.733093513,2.677765682,0.229206536,2.244137003,2.519098634,2.673171277,2.832384517,3.14723383,0.003323859
a_subj.749079099,1.678487647,0.174242709,1.323751366,1.564634942,1.703616517,1.800596914,1.981051306,0.01120862
a_subj.755075290,0.672804925,0.038764377,0.600645316,0.645979097,0.671363904,0.697463307,0.752831711,0.000513673
a_subj.770588123,2.638242031,0.156754643,2.350819764,2.529936403,2.628596851,2.739922645,2.968123454,0.001805487
a_subj.778697233,1.958194788,0.126123139,1.724855514,1.871229397,1.952504108,2.040527068,2.220519304,0.001682052
a_subj.779970594,1.566113131,0.155430314,1.278492414,1.459710988,1.561474937,1.668306648,1.88085994,0.002478757
a_subj.789515489,4.660902873,0.296008908,4.107356154,4.460139016,4.649958074,4.856639082,5.267514719,0.002816795
a_subj.796639530,1.944044643,0.184979615,1.613081479,1.800825764,1.948481763,2.078765745,2.288380788,0.007037792
a_subj.815555952,6.119337153,0.571541176,5.101826917,5.727271419,6.075208743,6.461767532,7.349763355,0.008600574
a_subj.828632181,0.908689045,0.055307502,0.80695832,0.869810718,0.907010216,0.944871455,1.022539589,0.00061247
a_subj.840480197,0.987809142,0.082031841,0.839365789,0.931590626,0.983693471,1.039708082,1.163611504,0.000984695
a_subj.846755060,4.311213695,0.302822818,3.740475343,4.106866015,4.30283752,4.510712929,4.9343843,0.003528272
a_subj.860810996,3.334327986,0.236669379,2.898359888,3.172806321,3.325554589,3.486292929,3.824054392,0.003170294
a_subj.874342939,3.251109495,0.201861584,2.866094719,3.114363137,3.246688031,3.382579195,3.661469648,0.002404231
a_subj.885985637,0.691171558,0.039825591,0.618402188,0.663451169,0.689745092,0.716313629,0.774793621,0.000419572
a_subj.889540573,0.852544261,0.049852762,0.760856207,0.818413895,0.849943881,0.884398129,0.960202065,0.000696419
a_subj.891299842,4.483229202,0.306274032,3.927237063,4.268619376,4.468632961,4.680123402,5.122104238,0.003320538
a_subj.894143700,3.701171914,0.264040393,3.215173494,3.518826414,3.686529905,3.868989089,4.250867161,0.003514095
a_subj.904039471,0.7407778,0.050761182,0.648536936,0.705716542,0.739019758,0.77261855,0.847720742,0.000638789
a_subj.909861321,3.228759071,0.281078503,2.691575652,3.034972181,3.231070824,3.416860732,3.778795215,0.004120367
a_subj.910114803,4.622897803,0.330975991,4.010785339,4.393776787,4.611713196,4.840484482,5.296863224,0.003851155
a_subj.911960296,1.316238103,0.087744235,1.153457214,1.256507983,1.313116875,1.372220854,1.499104211,0.000967545
a_subj.923162466,1.604280594,0.120958524,1.390961268,1.52017129,1.596339073,1.68114973,1.859357008,0.001614117
a_subj.931420970,3.166762281,0.23767594,2.715583717,3.001415954,3.164359032,3.329620841,3.627928885,0.003272569
a_subj.933260573,2.727209274,0.230029785,2.320336812,2.565836435,2.711940891,2.871569913,3.216081765,0.00332557
a_subj.945098209,1.574234184,0.104418197,1.391508192,1.501627732,1.567207199,1.638895496,1.803071734,0.001146087
a_subj.949645864,1.066862931,0.0640136,0.946922787,1.02232963,1.064925289,1.107477113,1.197519841,0.000756641
a_subj.949879914,1.362883447,0.081006664,1.211589165,1.307532324,1.36094286,1.416590478,1.52708853,0.001027907
a_subj.956660069,1.483098593,0.097320576,1.298322084,1.416798365,1.480886758,1.548282939,1.678924658,0.001435252
a_subj.961875421,2.641560663,0.15342522,2.356678105,2.536177072,2.634823334,2.7427567,2.960847802,0.001743597
a_subj.964326783,8.126189282,1.040396845,6.369230479,7.394792242,8.029781089,8.762052057,10.44012378,0.019076656
a_subj.968634301,2.11157787,0.123907997,1.890671599,2.024963809,2.105933998,2.190283766,2.373411165,0.001473941
a_subj.971172922,0.779334095,0.056591567,0.675257538,0.740397074,0.776211412,0.816223075,0.897697886,0.000796401
a_subj.977170877,13.89293563,2.287815842,9.701092205,12.27107855,13.85012851,15.39209551,18.6378894,0.052940321
a_subj.979660929,3.356017672,0.201818905,2.983794367,3.215053963,3.351103994,3.487056044,3.772010848,0.002194327
a_subj.984661157,1.326689358,0.083324869,1.175067962,1.268508391,1.32109159,1.379745071,1.501298386,0.001114082
a_subj.985750851,6.071743346,0.775509074,4.89023236,5.541536821,5.970745789,6.473091085,7.880832974,0.017451289
t,1.032332546,0.037430405,0.962116049,1.006342074,1.03124524,1.057395132,1.109142311,0.000532386
t_std,0.377384768,0.039213505,0.309965303,0.349715633,0.374355466,0.40073003,0.46333998,0.000798355
t_subj.2884955,0.95846686,0.101828612,0.745714015,0.894579302,0.960960015,1.024022017,1.152692398,0.001177523
t_subj.3964964,0.927301668,0.016434925,0.89002348,0.91752678,0.929374735,0.938859501,0.954102136,0.000227542
t_subj.12919430,0.919968564,0.183945492,0.53881768,0.79673115,0.932101302,1.051063263,1.250819714,0.002770327
t_subj.34984274,0.970821008,0.120753337,0.735383147,0.89240449,0.96734269,1.050755243,1.213974465,0.001455857
t_subj.41833230,0.650872214,0.088196181,0.460031602,0.593299037,0.657118918,0.714663937,0.803041115,0.001168348
t_subj.43020357,0.932259029,0.022373659,0.881629143,0.919011676,0.935082282,0.947959144,0.968285406,0.00025465
t_subj.48595352,0.752893916,0.15746386,0.435947258,0.646976715,0.756920162,0.863667095,1.043389716,0.003660807
t_subj.48977487,1.280664279,0.039751581,1.194989049,1.257512747,1.282864113,1.304604845,1.360972291,0.000591433
t_subj.56470734,0.799596497,0.067708379,0.640254636,0.761137541,0.808419327,0.848431871,0.904934299,0.001115401
t_subj.74263281,1.717912597,0.146127257,1.369731701,1.637882943,1.743724061,1.821062182,1.942693638,0.001703774
t_subj.75969320,0.881052952,0.026348116,0.822158951,0.865149185,0.883923455,0.899876652,0.924750789,0.000507973
t_subj.92774005,0.772588706,0.127844407,0.500342361,0.691301652,0.779865413,0.865167322,0.997173413,0.001598336
t_subj.96226407,0.78721787,0.178976947,0.432059649,0.667512029,0.792503153,0.912652581,1.123424861,0.001848767
t_subj.97123322,0.973361958,0.004825164,0.962808095,0.970375844,0.973850648,0.976823925,0.981513906,6.24E-05
t_subj.100416772,0.913080971,0.186230291,0.529956307,0.789112105,0.920601467,1.04255497,1.259366218,0.002267842
t_subj.102783161,0.942813832,0.012172782,0.9155306,0.935449775,0.944074097,0.951534379,0.963049947,0.00013983
t_subj.103303422,1,1.11E-16,1,1,1,1,1,0
t_subj.120939072,0.652129648,0.095619775,0.447533761,0.589249497,0.661162949,0.72166531,0.815455688,0.001197645
t_subj.129490812,0.903946719,0.031229383,0.833518944,0.88578974,0.907897824,0.926416472,0.953416404,0.000443612
