,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_stim_n_subj.43020357,0.000631822,0.008988142,-0.017968578,-0.004243387,0.000927818,0.00542577,0.019382438,0.000287329
v_stim_n_subj.48595352,-0.000513998,0.008452365,-0.019192421,-0.004887579,-1.04E-05,0.004902135,0.015132575,0.000304086
v_stim_n_subj.48977487,4.44E-05,0.008879156,-0.019970271,-0.004576932,0.000602026,0.005233088,0.017541187,0.000288403
v_stim_n_subj.56470734,0.000558875,0.008549783,-0.017256051,-0.004031454,0.000825137,0.00535288,0.017360608,0.000269865
v_stim_n_subj.74263281,0.000517423,0.008390642,-0.017382297,-0.003973359,0.000881436,0.005352009,0.017308921,0.000257954
v_stim_n_subj.75969320,0.000771479,0.008668429,-0.017596269,-0.004021673,0.001007871,0.005678374,0.018291395,0.000268053
v_stim_n_subj.92774005,0.003585171,0.008726942,-0.012093412,-0.001577762,0.003167143,0.007522009,0.024040698,0.000317614
v_stim_n_subj.96226407,7.61E-05,0.008032766,-0.016996102,-0.004387044,0.000511456,0.005081921,0.014862354,0.000264467
v_stim_n_subj.97123322,0.001074252,0.008738137,-0.017712381,-0.003628409,0.001234016,0.005753497,0.018838264,0.000268564
v_stim_n_subj.100416772,0.002926003,0.007898056,-0.011802331,-0.001975997,0.002761306,0.006833503,0.021142572,0.00025831
v_stim_n_subj.102783161,0.000670329,0.008881409,-0.018408388,-0.004068376,0.00100069,0.005570649,0.018596717,0.000273001
v_stim_n_subj.103303422,0.000571845,0.008995249,-0.019152958,-0.003979142,0.001010461,0.005469663,0.018304086,0.000274598
v_stim_n_subj.120939072,0.000175171,0.008442621,-0.018565665,-0.004253598,0.000606594,0.005174666,0.01627944,0.000260669
v_stim_n_subj.129490812,0.000789239,0.008726698,-0.017740025,-0.003807003,0.001019856,0.005568333,0.01871809,0.000273253
v_stim_n_subj.130271607,6.42E-05,0.009113435,-0.020025581,-0.004478912,0.000635538,0.005307474,0.017146779,0.00029422
v_stim_n_subj.130941034,0.001204187,0.009051538,-0.016945589,-0.003686869,0.001344716,0.005737687,0.020222016,0.000263138
v_stim_n_subj.134057190,0.002901583,0.008019898,-0.012592115,-0.001836392,0.002582576,0.006782222,0.021271534,0.000271116
